##D:\ROMs
0x0C02B3C5,0x9E2511B8,0x45,0x01000000,0x14,RUGRATSSCAVENGERHUNT,D:\ROMs\Rugrats - Scavenger Hunt (U) [!].zip
0x0C5EE085,0xA167DD3E,0x45,0x00c00000,0x13,ROCKETROBOTONWHEELS,D:\ROMs\Rocket - Robot on Wheels (USA).zip
0xAC8E4B32,0xE7B47326,0x45,0x00800000,0x0b,ROBOTRON-64,D:\ROMs\Robotron_64_(USA).zip
0x417DD4F4,0x1B482FE2,0x45,0x01000000,0x0f,MORTAL KOMBAT 4,D:\ROMs\MK4.zip
0xF00F2D4E,0x340FAAF4,0x45,0x01000000,0x0d,CARMAGEDDON64,D:\ROMs\Carmageddon 64 (U) [!].zip
0xA2C54BE7,0x6719CBB2,0x50,0x01010000,0x0c,CASTLEVANIA2,D:\ROMs\Castlevania2EUR.zip
0x74E87A70,0x6293AED4,0x50,0x00c00000,0x10,ROADSTERS TROPHY,D:\ROMs\Roadsters_Trophy_(Euro).zip
0xF1850C35,0xACE07912,0x45,0x00c00000,0x14,MICROMACHINES64TURBO,D:\ROMs\MICROMAC.zip
0xFCBCCB21,0x72903C6B,0x45,0x01000000,0x0e,MYSTICAL NINJA,D:\ROMs\MysticalNinjaStaringGoemon-JAP.zip
0x60D5E10B,0x8BEDED46,0x50,0x02000000,0x08,Rayman 2,D:\ROMs\Rayman 2 - The Great Escape (E) [!].zip
0x20FD0BF1,0xF5CF1D87,0x50,0x00800000,0x0a,RAT ATTACK,D:\ROMs\Rat Attack.zip
0x67D21868,0xC5424061,0x50,0x00c00000,0x0a,RAKUGAKIDS,D:\ROMs\Rakuga_Kids_(Euro).zip
0x28705FA5,0xB509690E,0x50,0x01000000,0x12,Monaco GP Racing 2,D:\ROMs\Racing Simulation - Monaco Grand Prix (E) [!].zip
0x6DFDCDC3,0x4DE701C8,0x45,0x00c00000,0x10,NHL_BREAKAWAY_98,D:\ROMs\NHL Breakaway 98 (U) [!].zip
0x0F743195,0xD8A6DB95,0x50,0x01000000,0x09,DAIKATANA,D:\ROMs\Kaikatana.zip
0xE616B5BC,0xC9658B88,0x45,0x00800000,0x14,Iggy's Reckin' Balls,D:\ROMs\Iggy's_Reckin'_Balls_(USA).zip
0xF774EAEE,0xF0D8B13E,0x4a,0x02000000,0x0c,F3 Ì³×²É¼ÚÝ2,D:\ROMs\Mysterious Dungeon_f2.zip
0x9EA95858,0xAF72B618,0x45,0x02000000,0x0b,MarioParty2,D:\ROMs\Mario_Party_2_(USA).zip
0x4BBBA2E2,0x8BF3BBB2,0x00,0x00a00000,0x10,Puzzle Master 64,D:\ROMs\Puzzle Master.zip
0xC0DE0747,0xA2DF72D3,0x4a,0x00800000,0x0e,PUZZLEBOBBLE64,D:\ROMs\Puzzle Bobble 64 (J) [!].zip
0x94807E6B,0x60CC62E4,0x4a,0x00800000,0x10,PUYO PUYO SUN 64,D:\ROMs\Puyo_Puyo_Sun_64_(JAP).zip
0x9BA10C4E,0x0408ABD3,0x4a,0x00800000,0x09,KIWAME 64,D:\ROMs\Pro Mahjong Kiwame 64 (J) [!].zip
0x3E5055B6,0x2E92DA52,0x45,0x01000000,0x0b,MARIOKART64,D:\ROMs\MarioKart.zip
0xB9A9ECA2,0x17AAE48E,0x45,0x00c00000,0x09,Rush 2049,D:\ROMs\San Francisco Rush 2049 (U) [!].zip
0x0DD4ABAB,0xB5A2A91E,0x45,0x01800000,0x0b,D K DISPLAY,D:\ROMs\donkey kong 64 - kiosk (u) [!].zip
0x665E8259,0xD098BD1D,0x4a,0x01000000,0x0f,POKEMON STADIUM,D:\ROMs\pokemonStadium.zip
0x90F5D9B3,0x9D0EDCF0,0x45,0x02000000,0x0f,POKEMON STADIUM,D:\ROMs\Pokemon_Stadium_(USA).zip
0x63775886,0x5FB80E7B,0x4a,0x02000000,0x11,POKEMON STADIUM 2,D:\ROMs\Pokemon_Stadium_2_(JAP).zip
0x7A4747AC,0x44EEEC23,0x44,0x02000000,0x11,PUZZLE LEAGUE N64,D:\ROMs\Pokemon_Puzzle_League.zip
0xEE08C602,0x6BC2D5A6,0x50,0x01000000,0x14,PGA European Tour Go,D:\ROMs\PGA European Tour Golf (Euro).zip
0xB58988E9,0xB1FC4BE8,0x50,0x02000000,0x0d,Hydro Thunder,D:\ROMs\Hydro Thunder.zip
0xB210DF19,0x98B58D1A,0x50,0x00800000,0x0e,Army Men Sarge,D:\ROMs\HS-AMSHP.zip
0x41F2B98F,0xB458B466,0x45,0x02000000,0x0c,Perfect Dark,D:\ROMs\Perfect Dark (V1.1) (U) [!].zip
0xF468118C,0xE32EE44E,0x4a,0x02000000,0x14,Ultraman Battle JAPA,D:\ROMs\PD Ultraman Battle Collection 64 (J) [!].zip
0x89529B12,0x0853ED3B,0x45,0x00c00000,0x08,PAPERBOY,D:\ROMs\Paperboy_(USA).zip
0xAC976B38,0xC3A9C97A,0x50,0x00c00000,0x08,PAPERBOY,D:\ROMs\Paperboy (EURO).zip
0x0B6B4DDB,0x9671E682,0x45,0x00c00000,0x10,ROADSTERS TROPHY,D:\ROMs\Roadsters (U) [!].zip
0x102888BF,0x434888CA,0x45,0x01000000,0x11,HYBRID HEAVEN USA,D:\ROMs\Hybrid_Heaven_(USA).zip
0xCC3CC8B3,0x0EC405A4,0x45,0x00c00000,0x13,F1 WORLD GRAND PRIX,D:\ROMs\f-1 world grand prix (u) [!].zip
0xACDE962F,0xB2CBF87F,0x50,0x00c00000,0x0a,NBA PRO 98,D:\ROMs\NBA_Pro_'98_(Euro).zip
0x7613A630,0x3ED696F3,0x45,0x01000000,0x07,FIFA 99,D:\ROMs\fifa 99 (u) [!].zip
0xCB1ACDDE,0xCF291DF2,0x45,0x00c00000,0x0d,FIFA: RTWC 98,D:\ROMs\fifa - road to world cup 98 (u) [!].zip
0x28D5562D,0xE4D5AE50,0x4a,0x00800000,0x0d,ÃÞÝØ­³²×²×ÎÞ³,D:\ROMs\Fire_Electric_Pen_(J)_[!].zip
0x810729F6,0xE03FCFC1,0x45,0x00c00000,0x0a,NBA JAM 99,D:\ROMs\NBA Jam 99 (U) [!].zip
0x6712C779,0x3B72781D,0x50,0x00c00000,0x10,IT&F SUMMERGAMES,D:\ROMs\International Track and Field Summer Games (E) [!].zip
0xDCBC50D1,0x09FD1AA3,0x45,0x01000000,0x09,GOLDENEYE,D:\ROMs\GOLDENEY.zip
0xAE82687A,0x9A3F388D,0x45,0x00800000,0x13,F1 POLE POSITION 64,D:\ROMs\F1POLE~1.zip
0x36F22FBF,0x318912F2,0x4a,0x00800000,0x12,64ÊÅÌÀÞ ~ÃÝ¼ÉÔ¸¿¸~,D:\ROMs\OML-64HanafudaTenchiYakusoku.zip
0x4998DDBB,0xF7B7AEBC,0x45,0x02000000,0x0f,NUCLEARSTRIKE64,D:\ROMs\Nuclear Strike 64 (U) [!].zip
0xE3AB4ED0,0x83040DD2,0x45,0x00c00000,0x0c,NFL QBC 2000,D:\ROMs\NFL Quarterback Club 2000 (U) [!].zip
0x2829657E,0xA0621877,0x45,0x02000000,0x0a,MarioParty,D:\ROMs\EUR-MPUS.zip
0x503EA760,0xE1300E96,0x50,0x00800000,0x0b,Cruis'n USA,D:\ROMs\Dm-cusa.zip
0xC49ADCA2,0xF1501B62,0x45,0x00c00000,0x04,GT64,D:\ROMs\GT_64_Championship_Edition_(U)_[!].zip
0x52A3CF47,0x4EC13BFC,0x50,0x00c00000,0x0b,NFL QBC '99,D:\ROMs\NFL Quarterback Club 99 (E) [!].zip
0x4B629EF4,0x99B21D9B,0x50,0x00800000,0x13,quarterback_club_98,D:\ROMs\NFL Quarterback Club 98 (E) [!].zip
0xDF331A18,0x5FD4E044,0x45,0x00c00000,0x0b,NASCAR 2000,D:\ROMs\NASCAR 2000 (U) [!].zip
0x1D4136F3,0xAF63EEA9,0x45,0x02000000,0x12,ZELDA MASTER QUEST,D:\ROMs\czn-zura.zip
0x8DF95B18,0xECDA497B,0x45,0x01000000,0x14,NBA IN THE ZONE 2000,D:\ROMs\NBA In the Zone 2000 (U) [!].zip
0x1938525C,0x586E9656,0x45,0x00c00000,0x0e,MS. PAC-MAN MM,D:\ROMs\Ms Pac-Man Maze Madness.zip
0xD9F75C12,0xA8859B59,0x45,0x01000000,0x13,MortalKombatTrilogy,D:\ROMs\MortalKombatTrilogy.zip
0x07861842,0xA12EBC9F,0x45,0x01000000,0x0c,EXCITEBIKE64,D:\ROMs\Excitebike 64 (U) [!].zip
0x2AF9B65C,0x85E2A2D7,0x45,0x00c00000,0x0c,MULTI RACING,D:\ROMs\MRC - Multi Racing Championship (U) [!].zip
0x658F8F37,0x1813D28D,0x44,0x01000000,0x0b,RTL WLS2000,D:\ROMs\RTL World League Soccer 2000 (G) [!].zip
0x28768D6D,0xB379976C,0x45,0x01000000,0x11,Monaco Grand Prix,D:\ROMs\Monaco Grand Prix (U) [!].zip
0xD3D806FC,0xB43AA2A8,0x50,0x00800000,0x05,MTM64,D:\ROMs\Monster Truck Madness 64 (E) [!].zip
0xE36166C2,0x8613A2E5,0x58,0x01000000,0x14,MO WORLD LEAGUE SOCC,D:\ROMs\Mo_World_League_Soccer_(Australia).zip
0x5001CF4F,0xF30CB3BD,0x45,0x01000000,0x0b,MarioTennis,D:\ROMs\MarioTennis (U).zip
0xCDB8B4D0,0x8832352D,0x45,0x02000000,0x10,JET FORCE GEMINI,D:\ROMs\Jet Force Gemini (U) [f1].zip
0x20073BC7,0x5E3B0111,0x45,0x00c00000,0x08,ITF 2000,D:\ROMs\International Track and Field 2000 (U) [!].zip
0xF908CA4C,0x36464327,0x45,0x00c00000,0x14,Killer Instinct Gold,D:\ROMs\killer instinct gold (u) (v1.2) [!].zip
0x1D4136F3,0xAF63EEA9,0x45,0x02000000,0x12,ZELDA MASTER QUEST,D:\ROMs\Legend_of_Zelda,_The_-_Ocarina_of_Time_-_Master_Quest_(U).zip
0x8A8E474B,0x6458BF2B,0x00,0x00140000,0x00,,D:\ROMs\LINE.zip
0xD0151AB0,0xFE5CA14B,0x45,0x01000000,0x09,DAIKATANA,D:\ROMs\John Romero's Daikatana (U) [!].zip
0x2829657E,0xA0621877,0x45,0x02000000,0x0a,MarioParty,D:\ROMs\Mario Party (U) [!].zip
0xA62230C3,0xF0834488,0x45,0x00c00000,0x0f,Dual heroes USA,D:\ROMs\dual_heroes.zip
0x0EC158F5,0xFB3E6896,0x45,0x02000000,0x0b,Mega Man 64,D:\ROMs\mega man 64 (u) [!].zip
0x46A3F7AF,0x0F7591D0,0x45,0x01000000,0x0d,CruisnExotica,D:\ROMs\Cruis'n Exotica (U) [!].zip
0x72611D7D,0x9919BDD2,0x58,0x01000000,0x14,HSV ADVENTURE RACING,D:\ROMs\HSV Adventure Racing (A).zip
0xC34304AC,0x2D79C021,0x45,0x01000000,0x0e,MK_MYTHOLOGIES,D:\ROMs\mortal kombat mythologies - sub-zero (u) [!].zip
0xC7C98F8E,0x42145DDE,0x45,0x00c00000,0x10,HOT WHEELS TURBO,D:\ROMs\Hot_Wheels_Turbo_(USA).zip
0x98DF9DFC,0x6606C189,0x45,0x01000000,0x0d,HARVESTMOON64,D:\ROMs\Harvest_Moon_64_(USA).zip
0x23749578,0x80DC58FD,0x45,0x00c00000,0x09,NASCAR 99,D:\ROMs\nascar 99 (u) [!].zip
0x729B5E32,0xB728D980,0x45,0x01000000,0x10,GAUNTLET LEGENDS,D:\ROMs\Gauntlet_Legends_(USA).zip
0x7F3CEB77,0x8981030A,0x45,0x01000000,0x08,HERCULES,D:\ROMs\Hercules - The Legendary Journeys (U) [!].zip
0x36FA35EB,0xE85E2E36,0x45,0x01000000,0x0e,NFL BLITZ 2001,D:\ROMs\NFL_Blitz_2001_(U)_[!].zip
0xEF703CA4,0x4D4A9AC9,0x4a,0x00c00000,0x0b,TOUKON ROAD,D:\ROMs\Toukon Road - Brave Spirits (J) [!].zip
0xBE5973E0,0x89B0EDB8,0x45,0x00c00000,0x10,TOP GEAR RALLY 2,D:\ROMs\Top Gear Rally 2 (U) [!].zip
0xE6419BC5,0x69011DE3,0x45,0x02800000,0x0c,OgreBattle64,D:\ROMs\ogre battle 64 - person of lordly caliber (u) [!].zip
0xE4B08007,0xA602FF33,0x50,0x02000000,0x0c,Perfect Dark,D:\ROMs\Perfect Dark (E) [!].zip
0x3EDC7E12,0xE26C1CC9,0x45,0x02000000,0x14,Gex 3 Deep Cover Gec,D:\ROMs\Gex 3 - Deep Cover Gecko (U) [!].zip
0x68FCF726,0x49658CBC,0x50,0x00c00000,0x14,G.A.S.P!!Fighters'NE,D:\ROMs\G.A.S.P! Fighter's NEXTream (E) [!].zip
0x8ECC02F0,0x7F8BDE81,0x45,0x01000000,0x13,Top Gear Hyper Bike,D:\ROMs\Top Gear Hyper-Bike (U) [!].zip
0x2500267E,0x2A7EC3CE,0x45,0x02000000,0x0e,RIDGE RACER 64,D:\ROMs\RR64 - Ridge Racer 64 (U) [!].zip
0xF050746C,0x247B820B,0x45,0x02000000,0x0c,ROAD RASH 64,D:\ROMs\Road Rash 64 (U) [!].zip
0x204EC022,0xB119D185,0x45,0x00c00000,0x14,TONY HAWK PRO SKATER,D:\ROMs\Tony Hawk's Pro Skater (U) [!].zip
0x30C7AC50,0x7704072D,0x45,0x04000000,0x0a,CONKER BFD,D:\ROMs\Conker's Bad Fur Day (U) [!].zip
0x8C38E5DB,0xB37C27D7,0x50,0x02010000,0x14,ECW Hardcore Revolut,D:\ROMs\ECW_Hardcore_Revolut_EUR.zip
0x8E248649,0x2E1CDE52,0x00,0x00200000,0x00,,D:\ROMs\fire.zip
0x11C646E7,0x4D86C048,0x00,0x00120000,0x00,,D:\ROMs\Fogworld USA Demo (PD).zip
0x30E6FE79,0x3EEA5386,0x00,0x00200000,0x0c,Test Program,D:\ROMs\Fractal Zoomer Demo - by RedboX (PD).zip
0x4072572D,0xA23DB72C,0x45,0x00140000,0x00,,D:\ROMs\HiRes CFB Demo (PD).zip
0x71255651,0xC6AE0EA6,0x45,0x00200000,0x08,N64 Star,D:\ROMs\N64STARS.zip
0x5129B6DA,0x9DEF3C8C,0x45,0x00400000,0x0d,NAMCOMUSEUM64,D:\ROMs\Namco Museum 64 (U) [!].zip
